Department,Course Catalogue Number,Course Name,Description,Graduate/Undergraduate,Lab,Year,Keywords
Biosystems & Ag Engineering (BAE),BAE 5413,Advanced Instrumentation and Control Systems for Biological Applications,"Principles and operation of commercial instruments and data acquisition systems used in biological, environmental, and agricultural applications. Hands-on projects that will improve system design, development and programming skills. Introduction of advanced topics including machine vision, spectroscopy, and data communication networks.



",Graduate,FALSE,2019-2020,['agri']
Biosystems & Ag Engineering (BAE),BAE 5423,Food Rheology,"Characterization and analysis of the rheological properties of food products. Focus on measurement techniques and equipment, including tube and rotational type instruments, with specific applications in food processing.



",Graduate,TRUE,2019-2020,['food']
Biosystems & Ag Engineering (BAE),BAE 5433,Biosensors,"Principles and applications of biosensors in food analysis, disease diagnostics, and environmental monitoring. Emphasis on conceptual design and characterization of biosensors. Introduction to recent advances in biodetection using nanotechnology.



",Graduate,FALSE,2019-2020,['food']
Biosystems & Ag Engineering (BAE),BAE 6101,Teaching Practicum in Biosystems Engineering,"Philosophies and techniques of resident and non-resident teaching, including experiences in preparation, presentation, and evaluation of lectures, laboratories, extension or continuing education programs. Course previously offered as BAE 6100.",Graduate,TRUE,2019-2020,['biosystem']
Biosystems & Ag Engineering (BAE),BAE 6213,Advanced Biomass Thermochemical Conversion,"Advanced study, evaluation, and application of thermochemical conversion pathways in biofuel production. Specific topics include biomass gasification, pyrolysis, liquefaction, and heterogeneous catalysis. Course available online only through AG*IDEA consortium. Course previously offered as BAE 6100.",Graduate,FALSE,2019-2020,['biofuel']
Biosystems & Ag Engineering (BAE),BAE 6313,Stochastic Methods in Hydrology,Stochastic and statistical hydrologic analyses of surface water and groundwater systems. Analysis of urban and rural drainage and detention systems. Same course as CIVE 6843.,Graduate,FALSE,2019-2020,"[' groundwater ', ' rural ']"
Biosystems & Ag Engineering (BAE),BAE 6343,Ground Water Contaminant Transport,"Principles of solute and multiphase transport in soils and ground water. Effects of advection, diffusion, dispersion, degradation, volatilization and adsorption. Relationships between laboratory and field scale transport. Contamination by nonaqueous phase liquids.



",Graduate,FALSE,2019-2020,"[' contaminant', ' soil']"
Biosystems & Ag Engineering (BAE),BAE 6520,Problems in Soil and Water Engineering,"Consent of instructor. Problems associated with erosion control, drainage, flood protection and irrigation.



Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2019-2020,"[' irrigat', ' soil']"
Biosystems & Ag Engineering (BAE),BAE 6540,Prob Farm Power & Mach,"Literature review and analytical studies of selected farm power and machinery problems. Written report required.



Offered for variable credit, 2-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2019-2020,['farm']
Biosystems & Ag Engineering (BAE),BAE 6580,Problems in Transport Processes,"Literature review and analysis of heat and mass transport and interval diffusion in biological materials. Transport phenomena at interfaces, thermal and cryogenic processing, drying, packed and fluidized bed systems. Thermal and moisture control processing affecting quality of food products. Written report required.



Offered for variable credit, 2-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2019-2020,['food']
Business Administration (BADM),BADM 2111,Career Planning for Business Success,"The course covers the process required to land an internship and start a successful career. Students will identify interests, strengths, and values and recognize how to apply these two major/career selection. The course will also focus on determining professional career goals and building professional and personal networks.



",Undergraduate,FALSE,2019-2020,['land']
Business Administration (BADM),BADM 6533,"Creativity, Innovation and Leadership","Examines the creative process and the role of leadership in driving the creative process within organizations. Covers issues such as works of genius, everyday problem solving, the role of intelligence, innovative environments, creative analysis, creative leadership, consumer creativity, and co-creation. The foundation of each topic is theory-driven research with an occasional management practice perspective.



",Graduate,FALSE,2019-2020,['management practice']
Chemical Engineering (CHE),CHE 1112.00,Introduction to the Engineering of Coffee (LN),"A non-mathematical introduction to the engineering aspects of roasting and brewing coffee. Simple engineering concepts are used to study methods for roasting and processing of coffee. The course will investigate techniques for brewing coffee such as a drip coffee, pour-over, French press, AeroPress, and espresso. Laboratory experiences focus on roasting and brewing coffee to teach introductory engineering concepts to both engineers and non-engineers.",Undergraduate,TRUE,2019-2020,"[' brew', ' coffee', ' drip', 'french press']"
Chemical Engineering (CHE),CHE 4283.00,Bioprocess Engineering,"Application of fundamental engineering principles to biochemical and biological processes. Introduction to cellular processes, fermentation technology, biological mass transfer and kinetics, bioreactor design and scale-up and downstream processing. Same course as BAE 4283.",Undergraduate,FALSE,2019-2020,[' ferment']
Chemical Engineering (CHE),CHE 5233.00,Bioseparations,"Study of separations important in food and biochemical engineering such as leaching, extraction, expression, absorption, ion exchange, filtration, centrifugation, membrane separation, and chromatographic separations. Course available online only through AG*IDEA consortium.



",Graduate,FALSE,2019-2020,['food']
Chemical Engineering (CHE),CHE 5283.00,Advanced Bioprocess Engineering,"Application of fundamental engineering principles to biochemical and biological processes. Introduction to cellular processes, fermentation technology, biological mass transfer and kinetics, bioreactor design and scale-up, and downstream processing. Same course as BAE 5283.",Graduate,FALSE,2019-2020,[' ferment']
Chemistry (CHEM),CHEM 4313,Medicinal Organic Chemistry,"This course looks at the development of new organic molecules for use in the pharmaceutical industry and investigates their pathway from the design stage to eventual introduction to the market. This course explores a range of important techniques necessary for the synthesis of complex organic architectures, an introduction to asymmetric synthesis, and polymer-supported synthesis of biomolecules including peptides and nucleic acids. This course also introduces various classes of drugs, mechanisms of action, drug metabolism and structure activity relationships.



","Graduate, Undergraduate",FALSE,2019-2020,[' metaboli']
Chemistry (CHEM),CHEM 6223,Physical Polymer Science,"A study of the physical properties of macromolecular systems including polymer solutions, gels, bulk polymers and rubbers. The characterization of polymers based on their thermal, spectroscopic, microstructure and molecular masses is also discussed.



",Graduate,FALSE,2019-2020,[' rubber']
Chemistry (CHEM),CHEM 6810,Photonics II: THz photonics and THz time-domain spectroscopy,"THz photonics and THz time-domain spectroscopy (THz-TDS). Concepts and techniques of driving electronic circuitry with ultra short laser pulses to generate and detect freely propagating pulses of THz electromagnetic radiation using several operational research systems. Same course as ECEN 6810 & PHYS 6810.



Offered for fixed credit, maximum of 4 credit hours.",Graduate,TRUE,2019-2020,[' pulses ']
Chemistry (CHEM),CHEM 6811,Photonics II: Thz Photonics and THz - TDS,THz photonics and THz time-domain spectroscopy (THz-TDS). Concepts and techniques of driving electronic circuitry with ultrashort laser pulses to generate and detect freely propagating pulses of THz electromagnetic radiation using several operational research systems. Same course as ECEN 6811 and PHYS 6811.,Graduate,FALSE,2019-2020,[' pulses ']
Chinese (CHIN),CHIN 1713,Elementary Chinese I,"Basic introduction to spoken Mandarin Chinese and Chinese characters. Training in pronunciation, conversation, grammar and reading. Not for native speakers per University Academic Regulation 4.9. Previously offered as CHIN 1115.",Undergraduate,FALSE,2019-2020,[' mandarin']
Chinese (CHIN),CHIN 2713,Intermediate Chinese I,"A continuation of CHIN 1813. Emphasis on fluency in spoken Mandarin Chinese, structures of greater complexity, a greater repertory of characters and vocabulary items, and reading ability. Not for native speakers per University Academic Regulation 4.9. Previously offered as CHIN 2115.",Undergraduate,FALSE,2019-2020,[' mandarin']
Civil Engineering (CIVE),CIVE 3623,Engineering Materials Laboratory,"Introduction on material properties and related design criteria for common construction materials: structural steel, wood and timber, aggregates, portland cement and concrete, asphalt binder and concrete. Discussion on material specific topics on fabrication methods; mechanical and non-mechanical properties; use and applications; standards, testing and quality control measures; selection and design criteria. Laboratory exercises supplement lecture theory and provide ""hands-on"" experience in performing standard tests.

",Undergraduate,TRUE,2019-2020,['land']
