Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy,key
CVEG 4233,Civil Engineering (CVEG), Water Quality Modeling,"
Water quality overview; movement of contaminants in the environment; contaminant interactions with soil, air, and water; and mathematical models to describe the movement of contaminants in various bodies of water including rivers, lakes, oceans and groundwater.Prerequisites: CVEG 3043.
",,,,2017-2018,,,,"[' contaminant', ' soil']"
CVEG 5143,Civil Engineering (CVEG), Hazardous Waste Management,"
Environmental legislation, regulations concerning the identification, storage, transport, and disposal of hazardous wastes. Treatment processes; control mechanisms; landfill technology and disposal practices.
",,,,2017-2018,,,,['land']
CVEG 5753,Civil Engineering (CVEG), Geospatial Information Management,"
Introduction and use of geospatial information systems in engineering management. Geographic Information Systems, use of databases, geocoding, geospatial analysis in the context of a project.
",,,,2017-2018,,,,['geospatial']
CPSY 7773,Clinical Psychology (CPSY), Learning Theory & Clinical App,"
The study of theoretical and procedural issues in basic learning mechanisms, in animals and humans, including classical and instrumental conditioning and social cognitive frameworks. Concept applications to relevant biological mechanisms and clinical interventions (e.g., behavior modification, systematic desensitization) are emphasized with particular attention to procedures implemented with children and adolescents. Coverage of parental and school consultation techniques is provided regarding behavior modification of children and adolescents. A review of research regarding applications of current theoretical models is presented.
",,,,2017-2018,,,,[' animal']
COMM 3513,Communications (COMM), Communication Law & Ethics,"
Examines the idea of free speech as it has developed in the United States with attention to mass media law, including topics such as liberal, invasion of privacy and obscenity. In addition to studying media law, students will examine and discuss ethical issues that involve the media. The objective is to develop  an understanding of the First Amendment and the role it plays in American society.Prerequisites: COMM 1713.
",,,,2017-2018,,,,[' amendment']
COMM 3713,Communications (COMM), Communication Technology,"
A study of electronic process and applications in media. Emphasis on current and emerging technologies in telecommunications, radio, TV, satellite, fiber optics, and computer-mediated communication.Prerequisites: COMM 1713 COMM 2513 or COMM 2523 or COMM 2533 or COMM 2543.
",,,,2017-2018,,,,[' fiber']
CODE 5603,Community Development (CODE), Land Development and Planning in Declining Communities,"
This course will explore techniques used to identify and acquire vacant or unmanaged properties in depressed neighborhoods.  The course examines challenges, social and other influences and changes throughout the world, with a special emphasis upon less industralized area.
",,,,2017-2018,,,,['land']
CODE 5613,Community Development (CODE), Land Development and Use Control Strategies,"
This course will introduce students to the basic principles of land and real estate development.  The course will provide an overview of the development process, the land development team, site analysis reading development drawings and environmental issues.
",,,,2017-2018,,,,['land']
CODE 5743,Community Development (CODE), Global Community Development in the United States,"
This course will explore the role of immigrants, non-U.S. citizens, and foreign investors in developing rural and urban America.  The course will examine the role of immigration on shaping the social and economic form of American cities and suburbs, and the role of histroric preservations in economic development.
",,,,2017-2018,,,,[' rural ']
CPET 3231,Computer Engineering Tech (CPET), Microprocessor Assembly Language Laboratory,"
Exploring the Intel processor registers, their functionalities and responsibilities in computations, tracing individual instruction executions in debug mode, dedicated memory segments and address spaces in real and protected modes, microprocessor programming in solving engineering technology problems and program analysis at microprocessor level.Prerequisites: CPET 2111 and CPET 2113 and CPET 3233 (may be taken concurrently).
",,,,2017-2018,,,,['crop']
CPET 3233,Computer Engineering Tech (CPET), Microprocessor Assembly Language,"
Microprocessor level data represented in binary and hexadecimal formats, Intel 32-bit architecture, real and protected mode address spaces, processor-memory working relationship, Intel programming mnemonics, program design and microprocessor level programming for solving engineering technology applications.Prerequisites: CPET 2111 and CPET 2113 and CPET 3231 (may be taken concurrently).
",,,,2017-2018,,,,['crop']
CPET 3251,Computer Engineering Tech (CPET), Digital Hardware Design Laboratory,"
Laboratory experiments in design of digital computers and computer controlled devices. The internal operation of a microprocessor and computer. Registers and timing control, programmable gate arrays, array processors as computer models.Prerequisites: CPET 2111 and CPET 2113 and CPET 3253 (may be taken concurrently).
",,,,2017-2018,,,,['crop']
CPET 3253,Computer Engineering Tech (CPET), Digital Hardware Design,"
Basic concepts used on the design of digital computers and computer-controlled devices. The internal operation of a microprocessor and computer. Registers and timing control, programmable gate arrays, array processors as computer models. Students will use individual board computers for doing simulation.Prerequisites: CPET 2111 and CPET 2113 and CPET 3251 (may be taken concurrently).
",,,,2017-2018,,,,['crop']
CPET 4051,Computer Engineering Tech (CPET), Computer Systems Design Laboratory,"
Experiments involving interface logic and programmable I/O devices for microprocessor base systems. The course will introduce- based systems. Introduce system design CAD tools, simulation, verification and synthesis.Prerequisites: CPET 3161 and CPET 3163 and CPET 4053 (may be taken concurrently).
",,,,2017-2018,,,,['crop']
CPET 4053,Computer Engineering Tech (CPET), Computer Systems Design,"
Study of modern digital design methodologies, operation, arithmetic operations, and the study of advanced analysis on microprocessor software engineering systems.Prerequisites: CPET 3161 and CPET 3163 and CPET 4051 (may be taken concurrently).
",,,,2017-2018,,,,['crop']
CPET 4111,Computer Engineering Tech (CPET), Applications of Microprocessor Software Laboratory,"
Exercises in industrial applications programs. Use of micro assemblers to write floating point mathematical routines, special purposes languages. Engineering Technology applications are stressed.Prerequisites: CPET 3231 and CPET 3233 and CPET 4113 (may be taken concurrently).
",,,,2017-2018,,,,['crop']
CPET 4113,Computer Engineering Tech (CPET), Software Applications of Microprocessors,"
Assembler-level programming of microprocessors and microcomputers with emphasis on writing industrial application programs. Use of micro assemblers to write floating point mathematical routines, special purpose languages, simulate other microprocessor instructions sets, generate re-locatable code, and linking leaders. Applications for Engineering Technology are stressed.Prerequisites: CPET 3231 and CPET 3233 and CPET 4111 (may be taken concurrently).
",,,,2017-2018,,,,['crop']
CPET 4153,Computer Engineering Tech (CPET), Micro Computer Peripheral Hardware,"
The elements of microprocessor peripheral hardware and its interfacing. Students will configure and construct microprocessor systems. Topics include series and parallel I/O devices, DMA and interrupt control devices, bus arbitration, and memory management units.Prerequisites: CPET 3161 and CPET 3163 and CPET 4151 (may be taken concurrently).
",,,,2017-2018,,,,['crop']
CINS 5203,Computer Information Systems (CINS), Web Application Dev I,"
Course focuses on the design and development of ""client-side"" web applications. Topics include Web 2.0. web application development methods, client-side scripting, session management, Ajax-enabled Rich Internet Applications, and reusable web application components. Technologies such as JavaScript, applets, Dreamweaver, Flash, XML, XHTML and Cascading Style Sheets are explored. The course includes an emphasis on the principles of good software engineering.Prerequisites: COMP 1224.
",,,,2017-2018,,,,[' apple']
COMP 2033,Computer Science (COMP), Assembly Language,"
Study of the logical design and internal operation of digital computers and programming using a macro assembly language. Using several practical exercises to illustrate machine structures and programming techniques for a typical microprocessor environment, such as the Intel processor/IBM PC architecture.Prerequisites: COMP 1224.
",,,,2017-2018,,,,['crop']
COMP 2143,Computer Science (COMP), Introduction to Java,"
An introduction to the Java Programming language. Includes coverage of Java Development Kit (JKD), applications, creating applets for enhancing web pages, and an introduction to the object model, and object oriented programming. Prerequisites: Proficiency in at least one programming language. Can be used as a computer science lower level elective.
",,,,2017-2018,,,,[' apple']
